date,data
2020-09-16,1.1985
2020-09-17,1.1800
2020-09-18,1.1350
2020-09-21,1.1200
2020-09-22,1.1065
2020-09-23,1.1050
2020-09-24,1.1115
2020-09-25,1.1365
2020-09-28,1.0955
2020-09-29,1.0955
2020-09-30,1.1095
2020-10-01,1.0705
2020-10-02,1.0895
2020-10-05,1.0720
2020-10-06,1.0765
2020-10-07,1.0960
2020-10-08,1.1025
2020-10-09,1.1155
2020-10-12,1.0915
2020-10-13,1.1010
2020-10-14,1.0960
2020-10-15,1.0950
2020-10-16,1.0725
2020-10-19,1.0605
2020-10-20,1.0490
2020-10-21,1.0415
2020-10-22,1.0670
2020-10-23,1.0560
2020-10-26,1.0665
2020-10-27,1.0695
2020-10-28,1.0500
2020-10-29,1.0460
2020-10-30,1.0440
2020-11-02,1.0280
2020-11-03,1.0345
2020-11-04,1.0300
2020-11-05,1.0595
2020-11-06,1.0695
2020-11-09,1.0685
2020-11-10,1.0730
2020-11-11,1.0910
2020-11-12,1.1010
2020-11-13,1.0925
2020-11-16,1.1565
2020-11-17,1.1620
2020-11-18,1.1975
2020-11-19,1.2065
2020-11-20,1.1550
2020-11-23,1.1445
2020-11-24,1.1315
2020-11-25,1.1503
2020-11-26,1.1556
2020-11-27,1.2320
2020-11-30,1.2278
2020-12-01,1.1845
2020-12-02,1.1910
2020-12-03,1.2005
2020-12-04,1.1755
2020-12-07,1.1910
2020-12-08,1.1925
2020-12-09,1.1705
2020-12-10,1.2105
2020-12-11,1.2160
2020-12-14,1.2615
2020-12-15,1.2465
2020-12-16,1.2660
2020-12-17,1.2660
2020-12-18,1.2525
2020-12-21,1.2430
2020-12-22,1.2420
2020-12-23,1.2455
2020-12-24,1.2595
2020-12-28,1.2335
2020-12-29,1.2540
2020-12-30,1.2540
2020-12-31,1.2825
2021-01-04,1.2615
2021-01-05,1.2510
2021-01-06,1.2090
2021-01-07,1.2110
2021-01-08,1.2370
2021-01-11,1.2145
2021-01-12,1.2140
2021-01-13,1.2525
2021-01-14,1.2735
2021-01-15,1.2815
2021-01-18,1.2815
2021-01-19,1.2715
2021-01-20,1.2520
2021-01-21,1.2645
2021-01-22,1.2405
2021-01-25,1.2325
2021-01-26,1.2450
2021-01-27,1.2550
2021-01-28,1.2400
2021-01-29,1.2295
2021-02-01,1.2535
2021-02-02,1.2340
2021-02-03,1.2395
2021-02-04,1.2405
2021-02-05,1.2450
2021-02-08,1.2410
2021-02-09,1.2295
2021-02-10,1.2110
2021-02-11,1.2120
2021-02-12,1.2115
2021-02-15,1.2115
